date,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,10%,30%,70%,90%,Min,Median (POR),Max
03-06,26.24,6.08,29.66,30.38,18.32,3.56,13.82,20.48,5.36,10.22,32.0,28.76,25.88,19.22,16.16,31.1,30.74,29.84,17.6,19.94,30.02,19.04,22.46,24.44,31.1,28.94,33.44,13.28,16.16,26.78,34.7,29.84,5.18,12.02,16.52,7.322,17.456,29.678,31.1,3.56,23.45,34.7
03-07,27.32,9.14,29.48,31.1,14.72,12.38,18.5,20.66,3.38,20.84,28.58,28.94,24.98,22.82,25.52,29.84,24.44,30.56,21.56,15.62,32.72,14.36,11.3,23.36,25.52,28.76,25.88,14.72,19.4,28.22,33.44,29.12,8.42,10.04,14.0,10.418,18.212,28.256,30.344,3.38,23.9,33.44
03-08,25.7,14.36,22.28,27.32,14.36,23.54,24.98,17.6,10.22,16.88,22.46,28.04,6.62,24.8,31.1,32.36,17.96,29.48,21.74,14.18,28.94,17.6,22.64,26.78,26.06,27.86,21.2,26.42,22.64,24.26,28.4,30.2,8.06,11.48,11.66,12.29,17.924,26.456,29.318,6.62,23.09,32.36
03-09,26.96,18.32,15.8,21.92,18.86,32.9,30.2,17.96,15.62,22.1,24.98,27.86,12.02,27.14,33.62,37.76,13.82,28.22,22.64,10.04,28.22,23.9,26.42,20.12,32.18,29.66,23.72,31.28,24.98,13.28,25.88,21.38,-9.76,13.82,23.18,13.442,18.806,27.212,31.91,-9.76,23.81,37.76
03-10,31.46,22.64,24.8,16.16,25.52,35.06,32.0,27.32,21.02,21.92,23.54,24.98,22.28,29.66,27.32,30.38,5.54,29.48,22.64,1.04,21.56,33.8,30.92,25.88,30.56,29.84,33.98,33.98,19.04,12.2,24.98,18.68,-2.74,21.74,29.3,13.388,21.902,29.678,33.26,-2.74,24.98,35.06
03-11,26.78,18.68,25.88,2.66,22.28,34.88,30.38,31.82,25.7,22.46,21.02,23.36,24.62,29.48,27.32,35.06,8.6,33.8,27.5,15.26,17.96,22.46,32.0,23.36,18.68,35.78,36.14,31.46,24.08,15.44,28.94,12.56,13.64,16.16,29.48,14.126,20.786,28.994,34.556,2.66,24.35,36.14
03-12,13.1,14.9,28.22,2.66,,26.78,26.96,25.88,27.14,18.32,18.5,24.26,27.68,32.9,30.56,24.8,7.88,39.92,25.7,13.82,25.52,22.64,31.28,24.44,21.74,33.44,33.08,28.58,24.62,20.12,15.98,16.7,26.42,16.16,27.5,14.036,19.472,27.032,32.576,2.66,24.8,39.92
03-13,11.12,16.7,28.94,17.42,31.46,24.98,23.72,4.64,28.22,27.32,23.0,26.96,17.24,39.2,25.16,14.36,9.32,38.12,23.0,23.54,27.68,27.68,33.62,35.42,24.44,31.82,30.02,32.36,26.78,18.32,15.8,22.82,25.7,26.24,24.8,14.792,22.982,27.734,33.242,4.64,25.43,39.2
03-14,16.7,19.04,30.2,22.46,33.98,29.66,23.36,1.76,31.64,37.22,24.44,17.78,11.48,36.14,25.16,14.18,19.04,29.84,21.74,25.88,28.58,29.84,32.54,39.74,26.6,37.94,23.9,37.04,33.08,17.6,22.82,29.84,25.16,30.2,20.3,16.97,22.784,30.2,36.77,1.76,26.24,39.74
03-15,15.62,19.4,30.92,23.36,38.12,31.82,22.28,11.3,32.0,38.12,15.8,15.08,8.42,35.24,26.6,19.4,19.04,26.42,18.14,24.98,30.92,29.12,36.14,37.4,25.52,43.7,15.98,41.54,27.86,19.04,26.78,31.46,28.58,23.36,24.08,15.674,19.4,30.974,37.904,8.42,26.51,43.7
03-16,21.92,18.5,28.94,20.84,38.66,23.72,20.66,29.48,31.28,24.98,23.0,17.06,10.04,30.02,29.84,24.98,21.74,34.7,14.9,30.38,36.68,28.58,34.88,29.84,32.72,38.84,15.08,33.98,21.56,21.2,23.0,25.7,22.46,9.86,30.2,15.674,21.722,29.858,34.826,9.86,24.98,38.84
03-17,25.88,19.76,27.86,27.68,23.9,27.14,18.86,26.24,23.9,19.94,22.1,20.12,7.34,26.6,32.36,21.02,24.26,40.64,17.78,28.04,36.32,19.94,37.58,18.5,26.96,36.32,12.38,34.88,22.28,24.98,27.32,24.08,19.04,9.86,31.46,17.996,20.102,27.158,35.888,7.34,24.17,40.64
03-18,25.52,20.84,20.48,29.48,,29.48,14.18,29.84,22.46,30.2,22.1,28.04,10.76,24.26,37.76,17.24,24.98,39.92,24.08,29.12,23.72,21.56,32.72,14.0,18.68,32.0,6.8,43.7,19.94,23.72,26.96,30.56,24.26,16.7,32.72,14.684,21.272,29.264,32.576,6.8,24.26,43.7
03-19,31.82,27.86,19.76,25.52,19.4,24.26,16.7,39.2,19.76,34.34,18.86,32.72,16.34,26.6,39.2,28.22,22.46,39.2,26.06,28.58,16.52,23.54,21.02,16.7,19.76,32.36,15.44,35.96,21.38,24.62,20.84,34.16,32.54,19.22,33.44,16.7,19.76,28.904,35.474,15.44,24.44,39.2
03-20,33.8,24.62,21.2,25.34,15.98,25.34,29.3,38.48,24.62,35.96,11.66,35.24,24.98,26.96,33.98,30.92,20.84,36.86,24.26,38.12,17.96,25.34,17.42,26.24,21.74,35.78,30.02,34.7,22.64,32.72,25.7,28.22,23.9,23.36,34.34,18.824,24.224,31.1,35.906,11.66,25.52,38.48
03-21,27.68,23.36,15.8,24.26,24.08,27.86,25.88,31.64,30.02,34.52,17.42,35.6,29.84,27.14,37.76,27.68,22.64,33.08,18.86,41.18,30.38,30.2,29.84,19.22,12.2,34.7,32.9,37.04,27.68,33.26,26.96,20.66,16.7,21.02,31.28,17.852,24.008,30.506,35.33,12.2,27.68,41.18
03-22,21.74,22.46,19.58,30.2,20.84,17.42,30.38,31.82,33.62,32.9,30.92,33.62,32.36,32.72,38.12,28.22,24.44,33.08,11.3,37.76,25.88,24.08,33.62,7.34,15.26,31.64,28.58,36.86,34.52,32.9,26.6,21.2,24.62,19.04,31.64,17.906,23.918,32.738,34.25,7.34,29.39,38.12
03-23,0.68,22.82,23.54,35.96,12.74,22.46,8.6,28.94,34.52,32.54,27.68,33.98,30.02,26.78,40.46,24.62,24.44,31.82,20.48,22.1,23.18,21.74,38.12,3.92,20.66,30.02,24.98,31.82,31.28,31.46,29.84,16.7,31.64,21.74,32.72,13.928,22.424,31.298,34.358,0.68,25.88,40.46
03-24,5.36,21.74,22.46,37.22,14.54,18.68,-4.36,16.88,33.62,33.26,19.22,32.36,25.52,18.86,39.02,17.78,29.84,32.72,28.04,25.34,23.9,26.78,36.68,4.1,23.54,24.26,24.08,31.64,26.78,30.38,27.14,15.98,37.04,21.74,21.74,14.972,21.488,29.894,35.762,-4.36,24.8,39.02
03-25,12.56,22.82,28.76,32.36,17.42,14.72,4.64,25.7,32.36,38.48,30.74,34.7,25.16,25.52,33.98,24.62,36.32,37.4,24.44,15.98,27.68,24.98,40.1,13.28,35.96,24.98,19.58,31.28,21.74,27.68,21.92,23.18,35.78,15.98,17.24,15.098,22.73,31.388,36.212,4.64,25.34,40.1
03-26,23.72,18.86,27.68,34.88,14.54,9.68,14.18,32.54,31.46,32.18,33.62,30.56,27.68,26.24,28.76,19.76,24.8,37.22,20.84,12.2,27.32,21.74,34.34,22.64,30.74,32.9,19.22,30.2,18.68,34.88,18.14,22.46,40.1,12.2,19.58,14.288,20.732,30.812,34.718,9.68,26.78,40.1
03-27,22.1,17.06,28.58,32.72,17.42,9.86,17.78,22.64,24.44,17.78,36.32,22.46,26.78,19.58,24.62,28.4,26.24,36.14,13.28,12.56,25.52,21.56,29.12,26.06,24.44,41.54,27.5,30.92,22.82,36.68,16.16,27.86,41.54,11.84,24.8,14.144,21.362,27.914,36.266,9.86,24.53,41.54
03-28,20.48,19.22,27.32,28.76,21.38,8.96,22.46,17.24,22.1,14.18,30.2,28.94,23.54,15.26,26.42,32.0,34.88,23.72,15.8,24.44,26.42,20.66,31.28,31.1,25.52,38.3,28.58,29.66,25.16,28.76,24.26,35.42,43.88,17.6,26.78,16.232,22.028,28.778,34.016,8.96,25.34,43.88
03-29,22.82,19.4,30.56,27.14,19.58,9.86,19.22,16.52,18.5,28.04,20.84,30.74,26.78,24.62,32.9,23.72,33.44,19.04,14.0,24.08,28.94,22.46,28.94,32.36,30.38,33.98,27.86,31.46,24.62,22.46,27.32,18.5,29.12,27.5,23.18,18.5,22.298,28.94,32.09,9.86,25.7,33.98
03-30,27.14,24.26,31.46,24.62,26.78,21.74,19.76,27.5,21.74,26.24,21.02,23.18,29.84,34.7,37.4,19.4,29.12,26.24,13.28,18.14,23.9,28.04,34.34,31.28,26.06,38.66,28.94,33.8,29.84,23.72,28.58,14.18,32.0,26.78,24.8,19.508,23.882,29.192,34.178,13.28,26.78,38.66
03-31,33.26,29.12,28.4,23.72,31.1,27.86,27.32,29.12,27.68,19.58,22.46,24.98,35.6,39.56,41.54,17.96,29.84,32.18,13.82,21.92,23.0,34.52,39.02,34.34,19.58,41.72,25.52,31.28,27.32,28.58,27.68,18.5,27.68,23.18,24.8,19.58,24.854,31.118,37.994,13.82,27.77,41.72
04-01,35.06,32.9,32.36,30.02,29.12,30.02,37.04,13.28,30.56,14.18,25.34,30.02,28.76,35.06,38.3,28.76,29.48,30.92,15.08,22.82,17.42,36.32,32.54,32.72,24.08,23.72,28.94,33.62,25.52,26.42,17.06,32.72,23.36,23.0,22.64,17.168,25.214,32.378,35.06,13.28,29.3,38.3
04-02,35.06,33.08,36.86,30.02,31.82,26.78,28.04,16.34,30.74,14.18,18.68,26.6,13.1,33.44,27.68,36.14,26.06,22.1,16.7,24.8,16.7,34.52,26.06,34.88,22.82,17.06,35.96,31.46,18.68,28.04,11.12,39.92,27.68,14.54,31.64,15.08,21.758,31.496,35.69,11.12,27.23,39.92
04-03,37.58,30.56,39.38,30.02,30.02,30.74,22.82,26.96,33.44,16.7,25.16,23.54,22.82,19.94,35.06,35.06,34.16,22.46,17.96,24.44,20.3,16.52,30.2,37.04,20.12,24.08,37.94,19.94,16.34,33.44,16.88,42.26,28.22,14.72,37.4,16.754,22.244,31.01,37.418,14.72,26.06,42.26
04-04,31.82,36.32,36.68,31.82,15.26,36.5,20.12,16.52,32.0,19.4,41.54,28.04,30.02,16.16,38.12,32.0,35.96,32.72,26.24,15.26,18.32,20.84,36.32,39.56,25.34,27.86,36.14,22.28,26.78,34.88,24.62,42.44,28.04,14.54,39.02,16.268,24.386,34.988,37.688,14.54,29.03,42.44
04-05,21.02,40.64,25.34,24.62,14.18,33.44,25.88,8.96,27.68,23.0,36.14,30.56,37.76,19.22,38.12,29.12,39.56,33.8,21.74,15.08,21.02,26.6,33.26,34.16,28.4,26.96,26.24,30.02,32.9,34.34,30.92,33.98,17.24,13.46,38.12,15.728,24.458,33.278,37.274,8.96,28.04,40.64
04-06,25.7,34.7,18.86,20.66,25.52,32.36,35.6,13.1,26.78,27.14,25.7,31.82,39.02,19.4,37.4,35.24,35.96,27.5,20.48,26.24,22.1,22.46,24.08,32.72,26.96,27.86,35.42,37.58,22.82,31.82,32.0,30.38,18.5,20.12,23.54,19.616,23.954,32.036,35.852,13.1,27.05,39.02
04-07,29.48,22.46,20.84,21.2,20.66,31.1,37.4,17.24,26.42,32.0,21.2,30.38,32.72,20.84,38.66,39.92,37.04,26.78,23.54,30.74,20.3,25.88,22.82,30.02,30.92,26.78,38.48,38.3,31.1,33.26,34.7,32.36,27.68,28.4,24.44,20.84,25.646,32.036,38.03,17.24,29.75,39.92
04-08,34.34,14.9,27.5,30.92,19.04,25.16,40.46,19.04,25.88,28.58,31.46,22.1,32.9,32.0,36.32,34.88,36.14,35.78,21.38,37.94,30.02,26.06,32.36,16.52,39.56,28.4,39.92,31.46,27.86,35.24,35.6,26.78,38.84,30.74,25.52,19.742,27.428,34.916,38.57,14.9,31.19,40.46
04-09,30.56,18.32,29.84,26.06,23.54,14.18,42.8,15.8,28.04,26.96,33.8,19.94,33.62,39.02,26.06,27.14,33.44,30.74,24.26,29.84,23.18,28.04,36.32,14.72,39.02,27.32,43.16,23.54,28.76,33.62,34.88,22.46,29.12,35.96,29.48,18.806,25.88,33.458,38.21,14.18,28.4,43.16
04-10,28.04,18.14,30.02,23.72,24.44,15.26,42.62,6.08,29.66,19.22,33.8,19.4,32.72,40.82,25.34,26.78,32.72,21.02,22.64,36.68,23.9,26.24,41.54,24.08,34.52,32.0,36.32,24.62,34.88,24.44,36.86,30.2,16.34,38.84,29.3,18.464,24.062,32.828,38.246,6.08,27.41,42.62
04-11,32.54,19.58,31.1,21.56,28.76,21.74,31.46,5.72,33.08,21.74,37.58,21.38,30.02,41.54,32.18,27.32,32.9,21.56,21.56,36.14,37.22,32.54,45.14,31.28,38.48,36.14,38.48,31.28,33.08,21.74,22.64,18.5,17.6,43.52,35.96,20.12,21.74,33.08,38.48,5.72,31.28,45.14
04-12,27.86,15.8,41.72,18.68,32.54,33.98,24.98,11.12,29.12,30.74,42.26,22.1,35.78,42.08,38.3,36.5,36.5,22.46,29.66,39.38,43.52,31.46,32.0,28.58,30.02,26.06,42.44,35.78,27.32,22.46,5.0,14.9,9.5,40.28,40.46,15.17,25.952,35.852,41.972,5.0,30.38,43.52
04-13,28.94,15.8,42.26,18.32,30.56,39.38,21.38,20.3,22.64,32.0,41.9,21.38,41.54,44.42,40.64,40.82,35.42,26.96,36.32,33.62,27.5,32.9,30.2,25.7,16.7,35.06,37.22,42.08,21.2,25.7,5.0,15.62,7.7,24.8,42.98,16.07,22.514,35.51,41.792,5.0,29.57,44.42
04-14,32.36,23.18,36.68,23.36,,22.82,24.26,27.32,24.8,18.86,31.64,19.76,36.5,39.38,37.58,23.9,36.32,36.14,44.24,30.02,29.84,25.16,29.3,15.98,23.36,39.92,31.46,29.3,28.04,30.74,19.22,19.04,16.52,19.4,43.88,19.076,23.36,31.532,37.4,15.98,28.04,44.24
04-15,39.92,23.36,34.7,26.06,33.08,19.22,31.46,28.22,24.26,16.7,33.26,22.46,30.92,34.52,31.82,29.48,37.94,37.04,27.86,30.74,31.46,25.52,25.7,14.36,28.4,26.06,26.78,26.06,33.08,29.3,21.74,21.56,18.32,22.1,38.48,19.922,25.394,31.46,34.646,14.36,28.04,39.92
04-16,27.5,22.46,35.78,30.92,40.28,24.08,34.34,33.98,25.7,29.12,34.7,29.66,23.9,30.02,31.46,35.6,38.12,37.76,20.84,36.5,39.56,33.26,30.2,10.94,26.06,30.74,26.96,33.26,35.78,31.28,14.9,22.82,24.62,32.36,33.26,22.568,26.87,34.016,37.382,10.94,30.83,40.28
04-17,36.14,25.52,29.12,29.66,42.98,25.88,26.78,37.4,23.18,35.96,35.42,42.44,26.42,30.56,32.72,41.0,27.68,37.58,29.12,39.92,39.92,33.98,33.44,10.22,34.34,36.5,29.12,33.08,24.98,30.56,24.8,28.04,21.2,37.76,19.76,24.854,28.004,35.978,39.92,10.22,31.64,42.98
04-18,37.22,25.16,24.98,26.06,42.62,24.08,24.26,34.7,25.34,39.74,33.44,44.06,22.46,31.64,30.92,32.36,23.54,33.62,32.72,35.78,41.18,29.66,32.9,22.1,34.16,34.7,32.0,36.14,27.14,35.96,30.74,31.82,34.16,26.96,16.34,24.134,27.122,34.214,38.984,22.1,32.18,44.06
04-19,40.46,25.7,25.52,25.16,42.26,28.04,21.38,33.44,30.2,39.74,36.32,32.72,17.06,30.74,31.46,29.12,25.88,25.7,38.12,36.32,42.8,18.32,31.82,29.48,35.96,29.3,38.84,33.8,33.08,44.06,33.44,17.24,31.1,19.04,20.84,19.742,27.824,34.016,40.244,17.06,31.28,44.06
04-20,41.0,28.76,29.66,23.36,42.08,26.6,22.46,29.48,31.82,34.7,37.76,26.06,16.88,34.34,28.94,31.28,34.88,28.22,23.18,42.8,46.76,22.82,41.18,30.56,40.28,33.8,42.44,34.16,35.96,40.64,36.14,19.04,25.88,20.66,26.78,22.568,28.058,35.978,41.81,16.88,31.55,46.76
04-21,40.28,29.3,33.62,32.36,44.42,24.26,21.2,24.08,34.52,27.86,40.46,27.14,25.52,38.66,28.04,28.76,39.92,30.38,15.8,43.88,45.32,29.84,44.06,25.88,38.66,37.58,43.52,29.66,38.48,34.52,38.48,25.16,32.36,21.2,35.6,24.134,28.022,38.498,43.772,15.8,32.36,45.32
04-22,34.7,31.64,31.1,32.0,41.72,24.08,26.06,24.26,40.1,27.5,39.92,26.6,34.52,38.3,28.22,34.52,45.5,35.42,25.16,44.78,43.88,19.76,45.86,12.56,41.0,39.56,45.32,32.36,41.54,37.4,37.04,29.84,31.64,23.36,33.44,24.134,29.678,39.596,44.51,12.56,34.52,45.86
04-23,33.26,31.46,20.48,28.94,39.74,23.72,33.44,29.84,43.7,28.22,33.62,32.0,26.42,35.96,35.96,39.02,28.76,34.88,31.82,36.5,35.96,22.82,48.02,15.08,27.68,35.78,38.84,33.62,27.68,40.46,33.98,31.28,26.42,28.22,35.6,24.53,28.706,35.798,39.524,15.08,32.63,48.02
04-24,33.26,32.18,23.36,26.78,,26.96,27.32,30.56,35.78,35.24,29.66,37.94,20.66,37.4,33.26,38.3,25.52,36.5,25.16,22.1,34.7,26.24,43.34,27.14,30.02,36.14,36.32,32.36,30.2,36.32,32.54,33.44,27.68,32.54,41.72,25.232,27.536,34.916,37.22,20.66,32.36,43.34
04-25,32.54,28.58,32.0,29.12,26.42,24.08,27.86,29.3,29.48,41.18,30.74,41.18,27.68,39.38,34.7,36.5,31.46,40.1,22.64,26.06,26.6,26.96,42.08,35.6,36.14,32.36,34.34,31.46,34.7,36.68,35.96,32.72,31.28,35.24,37.22,26.474,29.282,35.276,39.884,22.64,32.18,42.08
04-26,23.36,21.02,42.26,29.48,15.62,21.02,29.66,,28.94,39.92,34.34,43.7,32.18,27.32,43.16,35.96,39.56,36.68,21.02,27.68,27.5,24.8,43.34,38.66,35.78,31.28,30.74,30.38,38.12,35.06,41.9,31.28,35.96,37.94,35.24,21.488,29.264,37.184,42.188,15.62,32.18,43.7
04-27,22.28,19.4,45.14,23.72,15.62,28.58,19.22,36.14,33.8,37.58,40.28,44.06,29.84,28.04,45.68,25.34,35.96,42.26,31.28,28.4,37.4,26.78,28.22,42.44,29.3,33.8,30.74,28.94,43.52,33.62,37.94,30.92,36.14,29.3,34.88,22.712,28.562,36.266,43.196,15.62,31.1,45.68
04-28,21.92,22.28,41.72,31.28,17.06,23.54,20.84,28.94,39.2,36.86,45.86,43.7,33.98,30.38,30.38,20.3,36.68,49.46,40.64,34.34,24.62,32.54,26.24,39.02,25.52,40.46,27.86,28.04,46.94,18.68,39.2,36.14,33.26,35.6,35.42,21.164,27.698,37.076,43.106,17.06,32.9,49.46
04-29,15.08,21.38,47.48,30.92,21.92,23.54,26.42,26.96,41.9,35.24,30.92,36.32,37.58,33.62,29.48,17.42,41.0,51.08,41.54,26.6,22.28,20.84,31.1,32.36,27.68,45.68,32.18,28.94,36.86,18.32,45.5,42.98,28.94,41.54,32.72,21.002,26.924,36.932,44.744,15.08,31.01,51.08
04-30,19.04,21.38,43.52,30.2,30.74,19.4,27.86,26.42,42.62,38.84,35.24,37.04,31.1,33.44,33.26,21.92,39.38,46.04,27.68,22.82,24.98,23.72,35.06,23.9,33.62,39.38,32.18,33.26,33.08,20.84,41.0,50.36,31.64,44.42,25.7,21.542,27.554,35.42,43.25,19.04,32.63,50.36
05-01,24.26,21.92,35.06,30.38,30.74,25.52,28.58,24.62,40.28,36.5,45.14,25.34,27.32,31.28,38.66,26.06,39.02,46.04,25.88,24.08,30.56,24.08,30.74,21.92,38.84,42.44,36.32,33.26,33.62,22.82,37.94,43.52,32.9,46.22,24.08,24.08,26.042,36.644,43.196,21.92,31.01,46.22
05-02,28.04,21.74,35.78,35.42,32.0,31.82,26.42,22.64,43.16,34.7,45.14,23.18,33.98,32.9,45.32,29.3,32.54,45.5,29.66,33.44,30.92,30.74,30.02,29.66,44.78,44.06,39.2,34.52,35.6,26.42,39.02,33.98,36.5,45.68,26.42,26.42,30.668,35.852,45.032,21.74,33.71,45.68
05-03,32.18,23.0,40.1,38.12,35.24,31.46,20.84,33.08,43.88,32.0,46.58,28.4,31.1,34.7,43.16,33.26,31.1,33.98,34.7,37.4,25.34,33.08,36.86,34.7,46.58,41.0,44.24,38.12,37.94,30.92,37.4,32.54,34.52,46.76,25.16,29.156,32.504,37.958,44.132,20.84,34.7,46.76
05-04,34.7,21.92,42.08,32.0,34.52,34.7,19.76,37.04,40.64,26.96,43.52,36.32,33.08,35.42,47.3,38.66,33.8,30.74,37.22,34.34,18.32,28.76,38.48,34.7,39.38,40.28,46.4,44.6,40.64,39.02,33.44,32.9,38.84,44.96,34.88,27.5,33.764,39.056,44.276,18.32,35.87,47.3
05-05,42.98,30.74,45.32,38.3,38.84,35.6,23.54,39.2,40.46,19.76,36.68,38.3,32.0,30.2,51.44,41.0,37.4,31.1,41.54,40.1,19.22,37.76,29.84,38.66,39.2,42.8,47.66,48.38,42.44,37.94,37.76,34.88,42.44,35.24,37.58,29.948,35.564,40.514,44.618,19.22,38.3,51.44
05-06,44.78,35.06,47.84,36.86,38.12,33.26,27.86,36.5,40.46,31.28,33.26,30.02,32.0,28.94,49.1,40.82,40.64,35.06,41.18,32.9,17.42,37.04,28.94,41.0,33.44,37.76,42.44,50.0,45.5,39.56,38.3,42.8,41.0,33.44,30.56,29.264,33.422,40.838,45.284,17.42,37.4,50.0
05-07,25.52,34.88,47.3,30.56,44.42,34.7,31.1,29.12,40.28,39.56,32.72,37.58,29.12,33.8,48.56,37.4,37.22,39.92,35.96,29.84,19.22,36.32,33.8,44.06,27.68,30.2,40.28,46.04,43.88,35.42,28.94,46.4,32.36,33.26,28.04,28.994,32.234,39.596,45.554,19.22,35.15,48.56
05-08,22.46,39.38,41.54,25.52,44.6,32.9,34.88,31.46,37.4,33.44,32.9,44.96,17.78,31.1,45.86,38.3,34.7,44.24,35.24,32.0,26.06,36.32,41.54,42.8,31.82,32.18,45.68,42.26,44.6,31.82,31.46,27.14,28.94,36.68,29.3,26.384,31.82,39.596,44.6,17.78,34.79,45.86
05-09,26.78,32.36,31.46,30.74,44.78,35.96,32.9,39.38,37.04,28.58,32.9,41.54,24.44,30.92,40.46,37.58,25.88,44.24,29.66,32.72,35.24,35.78,46.94,39.38,33.08,30.92,38.12,38.66,47.66,29.66,33.98,28.04,23.54,37.76,34.88,27.158,30.92,37.796,43.43,23.54,33.53,47.66
05-10,33.8,32.9,33.98,40.64,45.14,38.12,35.24,41.36,37.4,24.98,33.44,38.66,29.66,31.1,42.26,36.14,32.0,45.86,32.36,34.16,34.34,32.18,37.4,41.9,29.48,27.86,26.24,42.44,44.42,33.08,34.52,30.92,25.52,38.3,40.1,28.346,32.342,38.138,42.386,24.98,34.25,45.86
05-11,29.48,34.34,33.8,47.3,46.58,35.78,40.28,36.14,35.78,28.76,24.98,44.24,31.1,30.92,31.28,32.36,40.82,48.38,37.58,39.74,33.62,36.32,34.7,44.24,26.42,33.26,31.46,45.86,37.76,39.02,32.54,32.36,32.36,38.12,42.98,29.912,32.36,38.21,45.374,24.98,35.24,48.38
05-12,30.56,29.84,29.66,45.68,44.78,,41.18,42.8,38.3,34.52,27.68,49.28,35.6,35.6,24.44,29.48,44.24,52.52,30.74,26.06,32.9,40.64,38.66,49.1,26.24,38.12,41.36,48.56,36.32,43.88,38.48,36.5,32.9,38.84,45.68,28.04,32.9,41.252,47.984,24.44,38.12,52.52
05-13,30.56,35.78,36.32,46.22,39.02,22.28,44.96,41.54,35.06,31.46,31.1,51.62,41.0,37.76,26.06,36.68,44.06,50.54,35.06,29.48,32.18,44.6,43.16,53.24,30.56,41.0,38.66,37.76,40.1,45.5,34.34,41.54,31.82,40.28,43.34,30.56,34.988,41.54,46.004,22.28,38.21,53.24
05-14,31.1,36.32,42.08,42.62,38.84,35.24,38.12,41.9,31.82,29.3,37.58,48.2,38.84,43.7,28.94,42.44,46.22,40.64,36.68,33.08,39.02,33.8,47.48,51.08,36.86,39.92,36.14,34.7,38.84,44.24,34.88,41.54,33.8,42.26,37.76,32.198,36.05,41.918,45.626,28.94,38.84,51.08
05-15,26.6,35.78,36.86,41.54,39.02,43.16,37.04,44.96,34.7,28.04,40.82,35.78,36.86,43.88,35.78,42.44,48.56,40.64,39.38,36.32,43.7,39.38,50.0,45.32,43.7,39.02,35.24,40.64,44.24,41.72,34.52,40.46,41.36,44.78,40.82,34.862,36.86,42.512,44.906,26.6,40.55,50.0
05-16,26.78,40.46,37.04,39.02,39.38,39.56,35.6,43.34,36.86,31.64,39.38,36.14,34.34,42.44,34.88,41.0,50.9,45.86,46.22,38.48,44.96,35.78,49.1,41.18,41.9,36.32,36.14,36.68,42.98,42.62,39.02,43.88,42.62,44.42,44.78,35.096,36.842,42.62,45.59,26.78,39.47,50.9
05-17,35.42,39.38,44.24,39.02,32.54,37.4,35.42,39.2,33.44,35.24,35.78,39.92,39.92,41.54,38.84,35.06,50.0,46.76,48.56,46.22,48.02,35.6,43.16,38.48,42.62,34.7,42.08,28.94,42.98,35.24,46.04,45.5,45.14,42.8,41.36,34.808,35.762,42.998,46.598,28.94,39.65,50.0
05-18,35.96,35.96,47.66,41.72,36.68,36.86,31.46,33.62,35.24,41.36,40.28,40.46,44.24,27.5,36.68,37.58,51.26,46.22,52.16,51.98,49.46,34.7,36.5,38.66,43.16,36.5,43.34,31.64,40.28,32.9,49.28,47.48,42.8,41.9,38.12,33.116,36.5,43.178,49.406,27.5,40.28,52.16
05-19,33.44,40.64,49.46,42.62,40.64,36.5,28.76,37.58,41.72,42.62,41.0,43.88,48.74,26.06,37.76,43.88,46.76,47.84,49.46,51.98,42.08,35.42,38.3,36.86,37.04,36.5,41.18,33.98,39.02,31.46,50.0,41.72,30.74,45.68,33.62,32.054,37.022,42.746,49.244,26.06,40.82,51.98
05-20,33.98,43.52,44.06,43.52,32.54,39.74,30.56,42.98,45.32,43.34,44.24,29.66,48.56,35.24,39.02,44.78,48.38,45.68,50.18,38.84,37.58,34.16,42.08,36.86,40.1,37.4,41.72,38.3,44.78,31.82,37.94,39.56,26.24,48.74,31.28,32.036,37.562,43.574,47.57,26.24,39.92,50.18
05-21,37.58,45.32,36.32,37.04,36.14,37.58,37.4,39.38,40.64,43.88,46.94,34.7,39.92,39.92,36.5,42.44,47.84,36.86,34.88,41.54,33.8,37.04,48.56,41.0,45.5,39.92,37.22,39.2,43.88,31.82,33.44,30.74,27.68,47.84,33.98,33.548,36.824,41.054,46.508,27.68,38.39,48.56
05-22,39.38,42.08,39.38,34.7,42.44,27.86,36.86,42.26,32.54,43.88,48.38,42.8,30.74,46.58,35.6,48.02,47.12,28.04,34.7,44.6,31.46,42.44,37.4,41.0,48.38,40.1,33.08,38.3,46.4,31.82,35.6,39.38,30.74,48.38,33.98,30.956,35.51,42.476,47.75,27.86,39.38,48.38
05-23,40.1,39.38,43.16,32.72,42.98,29.66,30.02,39.2,36.14,46.22,46.76,47.48,30.2,48.2,33.08,45.32,41.18,30.92,38.84,46.58,33.8,43.16,32.36,42.26,49.82,39.38,33.44,46.04,39.2,33.62,32.0,33.98,33.44,46.22,28.22,31.244,33.602,43.16,46.706,29.66,39.29,49.82
05-24,34.88,42.8,43.52,35.6,42.08,30.2,31.64,35.96,38.66,48.2,41.36,49.46,36.86,50.72,30.92,36.68,45.14,33.08,35.78,47.84,37.94,37.4,31.28,38.84,46.58,39.38,37.58,45.32,42.44,35.96,34.88,34.7,36.86,43.52,34.16,32.072,35.942,42.476,47.462,30.2,37.76,50.72
