date,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,10%,30%,70%,90%,Min,Median (POR),Max
11-02,20.12,12.38,-4.54,17.96,20.84,8.96,0.86,25.52,18.86,30.38,30.02,17.42,33.26,9.86,15.44,24.62,37.58,25.34,28.94,36.86,31.1,35.6,12.38,32.36,33.44,28.58,31.28,30.74,26.24,32.9,24.98,35.24,33.44,26.24,30.56,10.616,19.994,31.118,34.7,-4.54,26.24,37.58
11-03,22.82,13.28,6.8,13.64,24.26,4.82,9.5,25.52,27.68,26.24,36.32,18.68,31.1,17.24,18.86,29.66,25.7,32.18,31.82,31.64,29.48,31.64,22.82,32.54,20.48,26.06,31.1,35.24,32.54,28.22,27.32,37.04,33.8,17.6,33.8,13.388,22.586,31.154,33.422,4.82,26.78,37.04
11-04,25.16,21.02,16.7,10.94,17.06,11.12,15.8,26.42,30.38,21.56,36.68,26.06,33.44,19.4,7.88,29.3,24.44,33.44,34.88,26.06,33.8,34.52,31.64,36.5,13.64,27.68,24.8,37.4,22.82,28.04,29.66,40.28,36.86,19.22,34.7,14.288,21.506,31.82,36.626,7.88,26.24,40.28
11-05,20.48,14.0,25.88,18.68,10.76,17.78,21.56,13.1,29.12,26.24,37.76,18.68,39.38,23.18,5.18,34.34,20.66,33.08,33.26,19.58,42.26,36.86,21.38,37.94,13.64,31.82,20.66,35.42,19.76,23.9,33.08,42.26,34.7,24.44,33.8,13.748,20.408,33.098,37.886,5.18,24.17,42.26
11-06,19.04,3.02,24.62,20.66,13.1,24.98,14.72,12.38,31.28,21.56,39.38,11.84,35.24,29.48,7.7,35.6,30.56,36.5,34.52,16.16,33.08,41.18,15.26,37.04,22.82,36.5,18.5,37.58,15.44,20.3,24.26,41.72,33.44,15.44,33.44,12.596,18.266,33.548,37.418,3.02,24.44,41.72
11-07,17.78,9.68,22.64,25.34,15.98,18.32,20.66,16.7,34.34,20.12,41.18,11.66,26.96,34.34,11.66,30.74,34.34,41.72,38.12,26.96,27.14,38.3,15.8,41.0,31.1,33.08,21.74,36.32,8.06,17.42,19.94,39.38,27.32,25.16,27.68,12.902,19.778,33.206,39.056,8.06,26.15,41.72
11-08,18.86,18.86,30.92,21.2,15.62,6.08,30.2,26.06,24.98,19.58,40.28,15.44,26.6,29.48,20.12,36.68,23.36,34.88,37.4,31.28,18.5,32.36,18.5,33.98,26.24,33.26,23.18,37.04,19.94,14.0,30.74,22.64,21.02,25.88,23.9,16.484,20.102,30.758,36.14,6.08,25.43,40.28
11-09,30.02,27.86,27.5,15.44,19.94,20.3,20.84,30.38,15.8,12.02,32.54,12.02,35.06,25.88,27.32,40.46,22.28,24.26,38.84,33.08,26.24,22.28,17.78,25.88,28.58,33.98,28.22,39.02,28.94,17.06,37.04,14.18,27.68,23.36,21.38,15.548,22.136,29.048,36.446,12.02,26.78,40.46
11-10,34.34,32.9,18.68,10.04,26.06,24.8,9.86,29.48,12.56,13.64,36.5,3.02,30.74,23.9,26.78,29.48,37.94,19.22,36.68,32.0,31.1,17.96,23.54,11.12,35.24,10.22,23.0,37.22,29.48,16.16,29.48,13.82,21.74,12.74,21.2,10.49,17.78,29.606,36.122,3.02,24.35,37.94
11-11,36.14,33.26,21.92,11.84,19.94,24.62,23.0,27.86,8.96,19.58,40.1,8.6,31.1,22.82,22.82,29.3,39.02,24.26,26.42,26.6,29.84,15.98,27.68,7.16,33.26,-9.58,17.96,37.76,26.24,8.96,12.92,14.0,21.74,8.96,28.04,8.96,17.762,27.698,35.276,-9.58,22.91,40.1
11-12,34.34,33.62,28.22,17.6,18.86,25.88,27.14,30.74,17.24,21.38,42.08,4.82,35.42,25.16,18.68,26.06,21.92,16.88,26.24,28.94,20.3,21.92,21.92,15.98,32.18,-12.82,21.56,38.48,24.98,9.32,26.42,11.12,32.36,14.18,29.3,12.038,18.842,27.248,34.124,-12.82,23.45,42.08
11-13,24.62,37.76,26.6,24.08,13.1,12.92,28.22,31.82,15.98,27.32,41.0,4.1,35.6,27.14,27.32,26.6,20.48,22.82,24.8,23.36,15.08,19.94,19.76,22.46,35.24,3.38,25.7,37.22,33.8,21.38,26.06,20.66,34.16,12.2,35.78,12.974,20.642,27.32,35.492,3.38,24.71,41.0
11-14,14.36,37.94,15.62,26.96,10.76,5.18,31.28,22.1,-1.12,32.18,36.5,15.62,32.9,23.54,26.96,24.44,16.16,19.22,13.46,19.58,7.52,24.44,19.76,24.44,27.32,15.08,29.12,37.4,26.06,26.06,26.42,16.34,35.24,14.36,34.88,11.57,16.106,26.96,34.538,-1.12,23.99,37.94
11-15,12.02,19.58,10.22,26.96,16.7,13.28,28.22,13.82,7.34,32.54,40.1,12.02,32.54,19.58,26.06,25.16,8.6,19.4,32.54,19.76,8.42,26.42,14.36,24.98,23.0,-0.22,27.5,37.4,24.98,28.4,33.44,22.46,38.84,17.6,36.32,9.086,16.466,27.014,33.17,-0.22,22.73,40.1
11-16,20.48,22.46,12.56,22.82,20.66,15.26,32.72,10.04,13.46,28.76,36.68,7.34,33.98,26.42,25.16,32.0,18.5,27.5,33.26,29.12,21.38,24.62,9.32,31.1,19.76,8.6,22.64,27.5,32.54,24.8,27.32,29.84,24.62,19.94,35.06,10.796,20.426,27.626,32.666,7.34,24.62,36.68
11-17,23.54,30.38,20.66,24.26,25.52,6.62,33.44,16.34,21.92,28.76,36.32,9.32,33.62,25.34,22.28,31.46,22.46,24.98,34.16,34.7,33.62,22.28,25.52,31.82,18.68,12.74,19.4,17.6,21.56,13.46,29.66,36.86,8.6,1.4,29.12,10.346,20.534,29.732,33.998,1.4,23.9,36.86
